Hunt#,TakeMethod,Area,Hunters,Harvest,Success%,Days,Antlered,Antlerless,%Spike,%6+Pts,Year
2104,Any Weapon,76,606,214,35,3269,,214,,,2023
2105,Any Weapon,76-1,81,27,33,530,,27,,,2023
2106,Any Weapon,1-2,25,16,64,373,10,6,40,0,2023
2107,Any Weapon,13,295,145,49,1795,102,43,7,63,2023
2108,Any Weapon,31,50,23,46,224,20,3,7,52,2023
2109,Any Weapon,39-3,41,12,30,164,11,1,46,10,2023
2110,Any Weapon,52,21,14,63,166,14,,0,50,2023
2111,Any Weapon,60A,124,87,70,987,76,11,26,34,2023
2112,Any Weapon,62-1,37,8,22,254,5,3,0,75,2023
2113,Any Weapon,63,376,122,32,2973,112,10,19,31,2023
2114,Any Weapon,63,186,107,57,1969,105,1,1,62,2023
2115,Archery,18,38,19,50,309,19,,0,74,2023
2116,Archery,39,46,21,46,414,21,,12,59,2023
2117,Archery,40-1,24,15,62,236,15,,0,92,2023
2118,Archery,44,26,11,42,266,11,,9,82,2023
2119,Archery,45-1,22,5,21,180,5,,0,74,2023
2120,Archery,46-1,10,4,44,79,4,,23,50,2023
2121,Archery,54,17,9,53,171,9,,0,100,2023
2122,Muzzleloader,22,104,12,11,618,,12,,,2023
2123,Muzzleloader,30A,44,14,32,279,10,4,34,34,2023
2124,Muzzleloader,33-1,25,10,39,146,,10,,,2023
2125,Muzzleloader,33-2,43,6,14,362,6,,61,0,2023
2126,Muzzleloader,36A-1,20,1,6,111,1,,0,0,2023
2127,Muzzleloader,36A-2,103,34,33,741,21,12,5,47,2023
2128,Muzzleloader,39,49,13,26,435,13,,17,58,2023
2129,Muzzleloader,39,499,74,15,3302,,74,,,2023
2130,Muzzleloader,46-1,10,2,25,74,2,,40,60,2023
2131,Muzzleloader,48,67,9,14,385,4,6,0,67,2023
2132,Muzzleloader,49,59,6,11,326,6,,0,33,2023
2133,Muzzleloader,50-1,48,17,35,299,16,1,0,46,2023
2134,Muzzleloader,54,22,15,70,160,15,,0,92,2023
2135,Muzzleloader,55-2,9,2,22,83,2,,0,100,2023
2136,Muzzleloader,61,158,14,9,841,6,8,0,0,2023
2137,Muzzleloader,64-1,32,4,11,167,4,,68,32,2023
2138,Muzzleloader,66-1,48,15,31,256,10,4,45,22,2023
2139,Muzzleloader,70-1,101,10,10,656,7,2,0,66,2023
2140,Any Weapon,1,20,4,20,183,,4,,,2023
2141,Any Weapon,2,20,0,0,186,,,,,2023
2142,Any Weapon,3,24,7,30,218,,7,,,2023
2143,Any Weapon,4,25,16,62,202,,16,,,2023
