Hunt#,TakeMethod,Area,Hunters,Harvest,Success%,Days,Antlered,Antlerless,%4+Pts,%5+Pts,%Whitetail,Year
1100,Muzzleloader,74,19,4,20,132,4,,100,,0,2023
1101,Any Weapon,11A,20,16,82,76,16,,75,0,22,2023
1102,Any Weapon,28-1,13,9,66,98,6,3,0,0,29,2023
1103,Any Weapon,36B-1,9,6,62,37,4,2,100,,20,2023
1104,Any Weapon,44,135,80,59,423,5,75,0,,0,2023
1105,Any Weapon,45-1,136,83,61,381,1,82,0,,1,2023
1106,Any Weapon,47,34,19,56,142,19,,36,,0,2023
1107,Any Weapon,47,16,10,62,38,,10,,,0,2023
1108,Any Weapon,54,82,55,67,355,54,1,38,,0,2023
1109,Any Weapon,55-1,35,25,70,148,25,,43,,0,2023
1110,Any Weapon,55-1,42,31,74,125,,31,,,0,2023
1111,Any Weapon,60-2,168,68,40,604,17,51,31,0,7,2023
1112,Any Weapon,21-1X,37,17,46,170,2,15,,0,100,2023
1113,Any Weapon,36A-1X,40,15,37,151,,15,,,100,2023
1114,Any Weapon,39-1X,50,27,55,114,,27,,,0,2023
1115,Any Weapon,40-1X,92,58,63,396,,58,,,0,2023
1116,Any Weapon,73-1X,10,4,38,53,,4,,,0,2023
1117,Any Weapon,14X,60,17,28,305,17,,,0,100,2023
1118,Any Weapon,14X,88,34,38,311,34,,100,50,89,2023
1119,Muzzleloader,1-1X,645,303,47,5356,15,288,100,43,98,2023
1120,Muzzleloader,2-1X,250,109,44,2016,1,108,,0,100,2023
1121,Muzzleloader,3-1X,118,48,40,815,,48,,,100,2023
1122,Muzzleloader,5-1X,83,43,52,542,4,39,,0,100,2023
1123,Any Weapon,11-1X,36,18,51,200,,18,,,58,2023
1124,Any Weapon,14X,119,75,63,370,4,70,0,,0,2023
1125,Any Weapon,14X,174,66,38,732,1,65,,0,100,2023
1126,Any Weapon,15-1X,75,34,46,373,1,33,,0,100,2023
1127,Any Weapon,16-1X,117,50,43,542,6,44,,0,100,2023
1128,Any Weapon,21-1X,66,32,49,323,,32,,,100,2023
1129,Any Weapon,21-1X,96,48,50,534,,48,,,100,2023
1130,Any Weapon,36A-1X,53,21,39,133,1,20,,100,100,2023
1131,Any Weapon,36A-1X,87,32,36,507,,32,,,100,2023
1132,Short-Range Weapons,38-1X,7,3,49,29,,3,,,0,2023
1133,Short-Range Weapons,38-1X,3,0,0,8,,,,,,2023
1134,Short-Range Weapons,38-1X,7,2,32,28,,2,,,0,2023
1135,Short-Range Weapons,38-1X,6,1,21,26,,1,,,0,2023
1136,Any Weapon,50-1X,23,9,39,85,,9,,,15,2023
1137,Any Weapon,60-1X,174,34,19,1122,,34,,,96,2023
1138,Archery,60A-1X,204,58,28,1298,1,57,0,,96,2023
1139,Archery,63AX,142,55,39,1309,,55,,,100,2023
1140,Archery,68AX,38,6,16,492,,6,,,81,2023
1141,Archery,70-1X,26,5,19,124,,5,,,0,2023
1143,Any Weapon,11,1,1,100,10,1,,100,,0,2023
1144,Any Weapon,11A,2,2,100,2,2,,100,,0,2023
1145,Any Weapon,13,18,5,25,70,5,,39,,0,2023
1146,Any Weapon,14,21,14,69,108,14,,75,,0,2023
1147,Any Weapon,18,7,5,67,29,5,,100,,0,2023
1148,Any Weapon,18,2,2,100,11,2,,100,,0,2023
1149,Any Weapon,20A,9,3,33,51,3,,100,,0,2023
1150,Any Weapon,21,1,1,100,4,1,,100,,0,2023
1153,Any Weapon,22,6,5,83,32,5,,100,,0,2023
1154,Any Weapon,26,41,33,80,211,33,,69,,0,2023
1155,Any Weapon,27,89,39,43,528,39,,62,0,6,2023
1156,Any Weapon,28,1,0,0,5,,,,,,2023
1157,Muzzleloader,29-1,2,2,100,6,2,,100,,0,2023
1159,Any Weapon,36,1,1,100,4,1,,0,,0,2023
1160,Any Weapon,36A,1,0,0,10,,,,,,2023
1162,Any Weapon,39,1,0,0,5,,,,,,2023
1163,Any Weapon,40,5,4,70,36,4,,71,,0,2023
1164,Any Weapon,42,1,1,100,15,1,,100,,0,2023
1165,Any Weapon,44,1,1,100,5,1,,100,,0,2023
1167,Any Weapon,45,2,0,0,12,,,,,,2023
1168,Any Weapon,47,3,3,100,10,3,,67,,0,2023
1169,Any Weapon,50-1,1,0,0,5,,,,,,2023
1170,Muzzleloader,52,1,1,100,5,1,,100,,0,2023
1172,Any Weapon,54,5,4,80,15,4,,100,,0,2023
1173,Any Weapon,54,1,1,100,3,1,,100,,0,2023
1174,Any Weapon,55,2,1,50,9,1,,100,,0,2023
1175,Any Weapon,55-1,1,1,100,3,1,,100,,0,2023
1177,Muzzleloader,57,1,1,100,5,1,,100,,0,2023
1178,Any Weapon,70,1,1,100,12,1,,100,,0,2023
1179,Any Weapon,73,1,1,100,1,1,,100,,0,2023
1180,Any Weapon,78,7,7,100,14,7,,100,,0,2023
