Hunt#,TakeMethod,Area,Hunters,Harvest,Success%,Days,Antlered,Antlerless,%Spike,%6+Pts,Year
2001,Any Weapon,11,37,21,56,262,21,,5,67,2024
2002,Any Weapon,18,103,54,53,640,54,,4,60,2024
2003,Any Weapon,19A,10,0,0,80,,,,,2024
2004,Any Weapon,23,9,1,16,44,1,,0,100,2024
2005,Any Weapon,29,173,104,60,1064,104,,1,64,2024
2006,Any Weapon,30,144,82,57,1019,82,,4,50,2024
2007,Any Weapon,30-1,29,25,88,159,25,,4,78,2024
2008,Any Weapon,31,69,40,57,443,40,,10,52,2024
2009,Any Weapon,36A-1,50,24,48,294,24,,0,70,2024
2010,Any Weapon,36A-2,111,81,73,662,81,,4,67,2024
2011,Any Weapon,37,95,58,61,558,58,,4,59,2024
2012,Any Weapon,37A,95,52,55,603,52,,2,69,2024
2013,Any Weapon,40,57,26,46,551,26,,0,91,2024
2014,Any Weapon,40-1,5,4,74,14,4,,0,100,2024
2015,Any Weapon,41,27,11,41,142,11,,10,49,2024
2016,Any Weapon,41,29,11,39,214,11,,0,76,2024
2017,Any Weapon,42,15,11,72,100,11,,0,90,2024
2018,Any Weapon,43,20,8,41,113,8,,25,58,2024
2019,Any Weapon,43,115,48,42,784,48,,5,63,2024
2020,Any Weapon,44,19,18,94,76,18,,0,77,2024
2021,Any Weapon,44,191,66,35,1437,66,,14,73,2024
2022,Any Weapon,45,120,52,43,748,52,,2,76,2024
2023,Any Weapon,46-1,13,8,66,136,8,,0,56,2024
2024,Any Weapon,46,36,18,49,182,18,,21,39,2024
2025,Any Weapon,48,20,11,56,153,11,,10,79,2024
2026,Any Weapon,48,138,59,43,926,59,,19,38,2024
2027,Any Weapon,49,19,8,44,91,8,,0,72,2024
2028,Any Weapon,49,158,84,53,748,84,,12,60,2024
2029,Any Weapon,50-1,57,32,57,276,32,,3,63,2024
2030,Any Weapon,51,10,8,77,49,8,,0,100,2024
2031,Any Weapon,51,117,69,59,786,69,,10,51,2024
2032,Any Weapon,52,46,22,48,316,22,,5,48,2024
2033,Any Weapon,52A-1,97,64,66,747,64,,0,59,2024
2034,Any Weapon,54,20,12,57,171,12,,0,100,2024
2035,Any Weapon,55-1,46,30,65,333,30,,4,78,2024
2036,Any Weapon,58-1,73,48,66,500,48,,7,51,2024
2037,Any Weapon,60-1,38,26,69,200,26,,0,76,2024
2038,Any Weapon,60-2,116,102,88,865,102,,0,58,2024
2039,Any Weapon,61,49,18,38,246,18,,6,46,2024
2040,Any Weapon,66A-1,49,34,69,330,34,,7,64,2024
2041,Any Weapon,66A-1,337,163,48,1521,163,,3,51,2024
2042,Any Weapon,70-1,24,10,43,167,10,,0,88,2024
2043,Any Weapon,70-1,226,93,41,1090,93,,4,64,2024
2044,Any Weapon,75-1,25,4,18,131,4,,0,50,2024
