"Hunt Information",,,,"1st Choice",,,"2nd Choice",,,Residents,,,NonResidents,,,,
Hunt,Area,Drawing,Permits,"1st Choice Applied",Drew,%,"2nd Choice Applied",Drew,%,"Residents Applied",Drew,%,"NonResidents Applied",Drew,%,"Total Drew",Year
1069,63A,1st,50,88,50,57%,75,0,0%,87,49,56%,1,1,100%,50,2024
1071,11A,1st,75,16,16,100%,9,8,89%,14,14,100%,2,2,100%,24,2024
1072,21-1,1st,10,38,10,26%,16,0,0%,29,9,31%,9,1,11%,10,2024
1073,22,1st,25,126,25,20%,56,0,0%,108,23,21%,18,2,11%,25,2024
1074,39-2,1st,60,171,60,35%,109,0,0%,160,55,34%,11,5,45%,60,2024
1075,40,1st,50,243,50,21%,101,0,0%,183,45,25%,60,5,8%,50,2024
1076,41-1,1st,25,37,25,68%,34,0,0%,30,23,77%,7,2,29%,25,2024
1077,43-1,1st,50,83,50,60%,29,0,0%,50,45,90%,33,5,15%,50,2024
1078,44,1st,50,304,50,16%,126,0,0%,199,45,23%,105,5,5%,50,2024
1079,45,1st,10,158,10,6%,44,0,0%,83,9,11%,75,1,1%,10,2024
1080,52,1st,10,44,10,23%,18,0,0%,31,9,29%,13,1,8%,10,2024
1081,53-1,1st,523,230,230,100%,352,293,83%,215,215,100%,15,15,100%,523,2024
1082,54,1st,508,259,252,97%,323,256,79%,193,193,100%,66,59,89%,508,2024
1083,68A,1st,354,230,230,100%,135,124,92%,229,229,100%,1,1,100%,354,2024
1084,70,1st,191,67,67,100%,141,124,88%,58,58,100%,9,9,100%,191,2024
1085,72-1,1st,179,179,179,100%,0,0,0%,146,146,100%,33,33,100%,179,2024
1086,21A,1st,5,68,5,7%,22,0,0%,58,4,7%,10,1,10%,5,2024
1087,22,1st,15,60,15,25%,47,0,0%,54,14,26%,6,1,17%,15,2024
1088,29-1,1st,63,131,63,48%,40,0,0%,106,57,54%,25,6,24%,63,2024
1089,30A,1st,5,45,5,11%,31,0,0%,39,5,13%,6,0,0%,5,2024
1090,33-1,1st,150,417,150,36%,91,0,0%,352,135,38%,65,15,23%,150,2024
1091,43,1st,125,181,125,69%,88,0,0%,166,116,70%,15,9,60%,125,2024
1092,45,1st,40,172,40,23%,114,0,0%,140,36,26%,32,4,13%,40,2024
1093,51-1,1st,50,320,50,16%,85,0,0%,286,47,16%,34,3,9%,50,2024
1094,52,1st,25,219,25,11%,90,0,0%,166,23,14%,53,2,4%,25,2024
1095,52A,1st,75,164,75,46%,98,0,0%,149,68,46%,15,7,47%,75,2024
1096,57,1st,15,124,15,12%,50,0,0%,97,14,14%,27,1,4%,15,2024
1097,61,1st,213,61,61,100%,161,152,94%,53,53,100%,8,8,100%,213,2024
1098,68,1st,20,79,20,25%,44,0,0%,78,19,24%,1,1,100%,20,2024
1099,73A,1st,20,138,20,14%,43,0,0%,106,18,17%,32,2,6%,20,2024
1100,74,1st,20,139,20,14%,50,0,0%,128,19,15%,11,1,9%,20,2024
1101,11A,1st,25,100,25,25%,10,0,0%,95,25,26%,5,0,0%,25,2024
1102,28-1,1st,15,26,15,58%,8,0,0%,24,14,58%,2,1,50%,15,2024
1103,36B-1,1st,15,25,15,60%,7,0,0%,25,15,60%,0,0,0%,15,2024
1104,44,1st,150,165,150,91%,102,0,0%,164,149,91%,1,1,100%,150,2024
1105,45-1,1st,150,217,150,69%,78,0,0%,212,148,70%,5,2,40%,150,2024
1106,47,1st,40,132,40,30%,48,0,0%,114,36,32%,18,4,22%,40,2024
1107,47,1st,20,24,20,83%,42,0,0%,24,20,83%,0,0,0%,20,2024
1108,54,1st,90,561,90,16%,122,0,0%,487,84,17%,74,6,8%,90,2024
