"Hunt Information",,,,"1st Choice",,,"2nd Choice",,,Residents,,,NonResidents,,,,
Hunt,Area,Drawing,Permits,"1st Choice Applied",Drew,%,"2nd Choice Applied",Drew,%,"Residents Applied",Drew,%,"NonResidents Applied",Drew,%,"Total Drew",Year
2130,46-1,1st,10,48,10,21%,27,0,0%,35,9,26%,13,1,8%,10,2024
2131,48,1st,75,30,30,100%,90,45,50%,24,24,100%,6,6,100%,75,2024
2132,49,1st,75,28,26,93%,90,49,54%,19,19,100%,9,7,78%,75,2024
2133,50-1,1st,50,167,50,30%,81,0,0%,132,45,34%,35,5,14%,50,2024
2134,54,1st,20,886,20,2%,176,0,0%,605,18,3%,281,2,1%,20,2024
2135,55-2,1st,10,61,10,16%,46,0,0%,44,9,20%,17,1,6%,10,2024
2136,61,1st,200,64,64,100%,150,101,67%,50,50,100%,14,14,100%,165,2024
2137,64-1,1st,35,34,19,56%,28,16,57%,16,16,100%,18,3,17%,35,2024
2138,66-1,1st,50,172,50,29%,38,0,0%,134,45,34%,38,5,13%,50,2024
2139,70-1,1st,125,85,83,98%,126,42,33%,71,71,100%,14,12,86%,125,2024
2140,1,1st,25,60,25,42%,20,0,0%,60,25,42%,0,0,0%,25,2024
2141,2,1st,25,33,25,76%,22,0,0%,33,25,76%,0,0,0%,25,2024
2142,3,1st,25,46,25,54%,46,0,0%,46,25,54%,0,0,0%,25,2024
2143,4,1st,25,90,25,28%,28,0,0%,89,24,27%,1,1,100%,25,2024
2144,5,1st,25,53,25,47%,32,0,0%,53,25,47%,0,0,0%,25,2024
2145,6,1st,25,89,25,28%,19,0,0%,85,23,27%,4,2,50%,25,2024
2146,22-1,1st,150,71,71,100%,56,44,79%,71,71,100%,0,0,0%,115,2024
2147,29,1st,25,26,25,96%,12,0,0%,23,23,100%,3,2,67%,25,2024
2148,30,1st,25,45,25,56%,16,0,0%,44,25,57%,1,0,0%,25,2024
2149,37,1st,25,41,25,61%,15,0,0%,37,23,62%,4,2,50%,25,2024
2150,44,1st,50,129,50,39%,71,0,0%,127,49,39%,2,1,50%,50,2024
2151,49,1st,50,42,42,100%,59,8,14%,42,42,100%,0,0,0%,50,2024
2152,54,1st,50,261,50,19%,63,0,0%,232,45,19%,29,5,17%,50,2024
2153,60-1,1st,100,134,100,75%,54,0,0%,134,100,75%,0,0,0%,100,2024
2154,66-2,1st,100,135,100,74%,27,0,0%,130,95,73%,5,5,100%,100,2024
2155,31,1st,30,368,30,8%,58,0,0%,321,27,8%,47,3,6%,30,2024
2156,24X,1st,25,69,25,36%,13,0,0%,69,25,36%,0,0,0%,25,2024
2157,32-1X,1st,150,817,150,18%,71,0,0%,811,150,18%,6,0,0%,150,2024
2158,32A-2X,1st,50,201,50,25%,138,0,0%,201,50,25%,0,0,0%,50,2024
2159,36AX,1st,200,1499,200,13%,20,0,0%,1475,192,13%,24,8,33%,200,2024
2160,63X,1st,50,176,50,28%,88,0,0%,175,49,28%,1,1,100%,50,2024
2161,63X,1st,50,408,50,12%,105,0,0%,407,50,12%,1,0,0%,50,2024
2162,74X,1st,75,111,75,68%,83,0,0%,110,75,68%,1,0,0%,75,2024
2163,74X,1st,75,118,75,64%,60,0,0%,117,74,63%,1,1,100%,75,2024
2164,76-1X,1st,50,128,50,39%,45,0,0%,123,45,37%,5,5,100%,50,2024
2165,76-1X,1st,50,100,50,50%,68,0,0%,97,49,51%,3,1,33%,50,2024
2166,11,1st,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2167,13,1st,15,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2168,13,1st,9,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2169,18,1st,9,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2170,29,1st,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2171,36-1,1st,6,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2172,36A-1,1st,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2173,36A-1,1st,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2174,36A-2,1st,7,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2175,36A-2,1st,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2176,37,1st,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2177,37,1st,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2178,37,1st,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2179,37,1st,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2180,37A,1st,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2181,40-1,1st,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2182,42,1st,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2183,43,1st,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2184,44,1st,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2185,45,1st,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2186,45-1,1st,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2187,49,1st,9,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2188,50-1,1st,4,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2189,50-1,1st,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2190,54,1st,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2191,54,1st,1,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2192,54,1st,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2193,58-1,1st,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2194,61,1st,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2195,61,1st,3,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2196,62-1,1st,5,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2197,62-1,1st,10,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2198,66A-1,1st,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2199,66A-1,1st,12,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2200,67-1,1st,2,0,0,0%,0,0,0%,0,0,0%,0,0,0%,0,2024
2280,36A-1X,1st,50,296,50,17%,6,0,0%,293,49,17%,3,1,33%,50,2024
2281,41X,1st,100,1106,100,9%,248,0,0%,1081,100,9%,25,0,0%,100,2024
2282,41X,1st,100,686,100,15%,437,0,0%,668,100,15%,18,0,0%,100,2024
2283,51-1X,1st,25,182,25,14%,32,0,0%,177,24,14%,5,1,20%,25,2024
2284,63-1X,1st,50,530,50,9%,21,0,0%,529,50,9%,1,0,0%,50,2024
2285,76X,1st,50,165,50,30%,51,0,0%,160,49,31%,5,1,20%,50,2024
2285,76X,1st,50,127,50,39%,75,0,0%,124,50,40%,3,0,0%,50,2024
