License Year,Hunting,Residency,Hunters,Days,Days per Hunter,Total Harvest,Rams,Ewes,Lambs
2023,100,N,1,7,7,1,1,0,0
2023,100,R,3,40,20,3,3,0,0
2023,100,SUM,4,47,16,4,4,0,0
2023,102,N,1,1,1,1,1,0,0
2023,102,SUM,1,1,1,1,1,0,0
2023,121,R,1,24,24,1,1,0,0
2023,121,SUM,1,24,24,1,1,0,0
2023,122,R,2,30,15,2,2,0,0
2023,122,SUM,2,30,15,2,2,0,0
2023,123,R,1,12,12,1,1,0,0
2023,123,SUM,1,12,12,1,1,0,0
2023,124,R,7,89,13,6,4,2,0
2023,124,SUM,7,89,13,6,4,2,0
2023,203,R,3,47,24,3,3,0,0
2023,203,SUM,3,47,24,3,3,0,0
2023,210,R,1,15,15,1,1,0,0
2023,210,SUM,1,15,15,1,1,0,0
2023,214,R,2,38,19,2,2,0,0
2023,214,SUM,2,38,19,2,2,0,0
2023,250,N,1,26,26,1,1,0,0
2023,250,SUM,1,26,26,1,1,0,0
2023,261,R,3,39,13,3,3,0,0
2023,261,SUM,3,39,13,3,3,0,0
2023,270,R,5,86,22,5,5,0,0
2023,270,SUM,5,86,22,5,5,0,0
2023,300,N,9,59,7,1,1,0,0
2023,300,R,39,185,5,0,0,0,0
2023,300,SUM,47,243,5,1,1,0,0
2023,301,R,5,70,16,3,3,0,0
2023,301,SUM,5,70,16,3,3,0,0
2023,302,R,6,68,16,6,6,0,0
2023,302,SUM,6,68,16,6,6,0,0
2023,303,N,7,66,9,0,0,0,0
2023,303,R,41,322,8,3,3,0,0
2023,303,SUM,48,388,8,3,3,0,0
2023,304,R,1,0,0,1,1,0,0
2023,304,SUM,1,0,0,1,1,0,0
2023,330,R,1,16,16,1,1,0,0
2023,330,SUM,1,16,16,1,1,0,0
2023,340,R,1,7,7,1,1,0,0
2023,340,SUM,1,7,7,1,1,0,0
2023,380,R,1,9,9,1,1,0,0
2023,380,SUM,1,9,9,1,1,0,0
2023,421,R,1,3,3,1,1,0,0
2023,421,SUM,1,3,3,1,1,0,0
2023,422,R,3,12,4,3,3,0,0
2023,422,SUM,3,12,4,3,3,0,0
2023,423,N,1,1,1,1,1,0,0
2023,423,R,1,25,25,1,1,0,0
2023,423,SUM,2,26,13,2,2,0,0
2023,424,R,2,36,18,2,2,0,0
2023,424,SUM,2,36,18,2,2,0,0
2023,441,R,1,20,20,1,1,0,0
2023,441,SUM,1,20,20,1,1,0,0
2023,455,R,1,14,14,1,1,0,0
2023,455,SUM,1,14,14,1,1,0,0
2023,482,N,2,6,3,2,2,0,0
2023,482,R,22,162,7,22,18,4,0
2023,482,SUM,24,168,7,24,20,4,0
2023,500,N,30,299,10,2,2,0,0
2023,500,R,45,325,7,0,0,0,0
2023,500,SUM,75,623,8,2,2,0,0
2023,501,N,30,243,8,1,1,0,0
2023,501,R,41,191,5,4,4,0,0
2023,501,SUM,71,435,6,5,5,0,0
2023,502,N,7,55,10,1,1,0,0
2023,502,R,38,262,7,3,3,0,0
2023,502,SUM,45,317,8,4,4,0,0
2023,503,R,3,68,23,3,3,0,0
2023,503,SUM,3,68,23,3,3,0,0
2023,620,R,3,27,9,3,3,0,0
2023,620,SUM,3,27,9,3,3,0,0
2023,622,N,2,39,20,1,1,0,0
2023,622,R,17,53,4,17,9,8,0
2023,622,SUM,19,92,5,18,10,8,0
2023,680,N,5,24,5,4,2,2,0
2023,680,R,61,374,6,37,21,16,0
2023,680,SUM,66,398,6,41,23,18,0
2023,Reg_1,N,2,8,4,2,2,0,0
2023,Reg_1,R,14,195,15,13,11,2,0
2023,Reg_1,SUM,16,203,14,15,13,2,0
2023,Reg_2,N,1,26,26,1,1,0,0
2023,Reg_2,R,14,225,19,14,14,0,0
2023,Reg_2,SUM,15,251,19,15,15,0,0
2023,Reg_3,N,16,124,8,1,1,0,0
2023,Reg_3,R,95,677,8,16,16,0,0
2023,Reg_3,SUM,110,801,8,17,17,0,0
2023,Reg_4,N,3,7,2,3,3,0,0
2023,Reg_4,R,31,272,9,31,27,4,0
2023,Reg_4,SUM,34,279,8,34,30,4,0
2023,Reg_5,N,66,598,9,4,4,0,0
2023,Reg_5,R,127,846,7,10,10,0,0
2023,Reg_5,SUM,193,1443,8,14,14,0,0
2023,Reg_6,N,7,63,9,5,3,2,0
2023,Reg_6,R,81,454,6,56,33,23,0
2023,Reg_6,SUM,88,517,6,61,36,25,0
2023,State,N,95,826,9,16,14,2,0
2023,State,R,361,2669,8,141,111,30,0
2023,State,SUM,456,3495,8,157,125,32,0
