"Hunt Information",,,,"1st Choice",,,"2nd Choice",,,Residents,,,NonResidents,,,,
Hunt,Area,Drawing,Permits,"1st Choice Applied",Drew,%,"2nd Choice Applied",Drew,%,"Residents Applied",Drew,%,"NonResidents Applied",Drew,%,"Total Drew",Year
1072,39-2,1st,60,147,60,41%,70,0,0%,134,54,40%,13,6,46%,60,2025
1073,40,1st,50,243,50,21%,88,0,0%,172,45,26%,71,5,7%,50,2025
1074,41-2,1st,25,33,25,76%,29,0,0%,23,23,100%,10,2,20%,25,2025
1075,43-1,1st,50,87,50,57%,41,0,0%,71,45,63%,16,5,31%,50,2025
1076,44,1st,50,380,50,13%,99,0,0%,252,45,18%,128,5,4%,50,2025
1077,45,1st,10,109,10,9%,64,0,0%,50,9,18%,59,1,2%,10,2025
1078,52,1st,10,35,10,29%,30,0,0%,26,9,35%,9,1,11%,10,2025
1079,53-1,1st,466,216,216,100%,289,250,87%,208,208,100%,8,8,100%,466,2025
1080,54,1st,570,280,256,91%,390,314,81%,199,197,99%,81,59,73%,570,2025
1081,68A,1st,346,242,242,100%,117,104,89%,235,235,100%,7,7,100%,346,2025
1082,72-1,1st,262,262,262,100%,0,0,0%,208,208,100%,54,54,100%,262,2025
1083,21A,1st,5,99,5,5%,32,0,0%,82,4,5%,17,1,6%,5,2025
1084,22,1st,15,84,15,18%,49,0,0%,76,14,18%,8,1,12%,15,2025
1085,29-2,1st,63,150,63,42%,51,0,0%,117,57,49%,33,6,18%,63,2025
1086,30A,1st,5,41,5,12%,28,0,0%,32,4,12%,9,1,11%,5,2025
1087,33,1st,150,427,150,35%,98,0,0%,359,135,38%,68,15,22%,150,2025
1088,43,1st,125,157,125,80%,68,0,0%,137,113,82%,20,12,60%,125,2025
1089,45,1st,40,215,40,19%,101,0,0%,138,36,26%,77,4,5%,40,2025
1090,51,1st,50,355,50,14%,133,0,0%,311,45,14%,44,5,11%,50,2025
1091,52,1st,25,203,25,12%,93,0,0%,158,23,15%,45,2,4%,25,2025
1092,52A,1st,75,130,75,58%,125,0,0%,117,68,58%,13,7,54%,75,2025
1093,57,1st,15,69,15,22%,37,0,0%,53,14,26%,16,1,6%,15,2025
1094,61,1st,116,46,46,100%,85,70,82%,38,38,100%,8,8,100%,116,2025
1095,68,1st,20,68,20,29%,58,0,0%,67,20,30%,1,0,0%,20,2025
1096,70,1st,50,51,47,92%,59,3,5%,46,42,91%,5,5,100%,50,2025
1097,73A,1st,20,111,20,18%,71,0,0%,95,18,19%,16,2,12%,20,2025
1098,74,1st,20,192,20,10%,46,0,0%,165,18,11%,27,2,7%,20,2025
1099,78,1st,50,35,26,74%,51,24,47%,21,21,100%,14,5,36%,50,2025
1100,11A,1st,25,117,25,21%,9,0,0%,109,23,21%,8,2,25%,25,2025
1101,28-1,1st,15,42,15,36%,11,0,0%,37,14,38%,5,1,20%,15,2025
1102,36B-1,1st,15,22,15,68%,17,0,0%,22,15,68%,0,0,0%,15,2025
1103,44,1st,75,248,75,30%,85,0,0%,247,74,30%,1,1,100%,75,2025
1104,47,1st,40,125,40,32%,64,0,0%,113,36,32%,12,4,33%,40,2025
1105,47,1st,20,29,20,69%,39,0,0%,28,19,68%,1,1,100%,20,2025
1106,54,1st,90,611,90,15%,117,0,0%,522,81,16%,89,9,10%,90,2025
1107,55-1,1st,40,286,40,14%,123,0,0%,238,36,15%,48,4,8%,40,2025
1108,55-1,1st,50,73,50,68%,75,0,0%,70,47,67%,3,3,100%,50,2025
1109,60-1,1st,250,214,214,100%,64,36,56%,210,210,100%,4,4,100%,250,2025
1110,62,1st,50,17,17,100%,37,5,14%,16,16,100%,1,1,100%,22,2025
1111,21-1X,1st,75,80,75,94%,4,0,0%,78,74,95%,2,1,50%,75,2025
1112,36A-1X,1st,75,47,47,100%,11,5,45%,46,46,100%,1,1,100%,52,2025
1113,39-1X,1st,100,422,100,24%,27,0,0%,416,99,24%,6,1,17%,100,2025
1114,40-1X,1st,100,189,100,53%,27,0,0%,188,99,53%,1,1,100%,100,2025
1115,1-1X,1st,50,74,50,68%,94,0,0%,71,48,68%,3,2,67%,50,2025
1116,1-1X,1st,50,269,50,19%,54,0,0%,250,50,20%,19,0,0%,50,2025
1117,14X,1st,125,88,88,100%,126,37,29%,77,77,100%,11,11,100%,125,2025
1118,14X,1st,125,530,125,24%,137,0,0%,521,123,24%,9,2,22%,125,2025
1119,18X,1st,50,426,50,12%,49,0,0%,419,50,12%,7,0,0%,50,2025
1120,1-1X,1st,300,157,157,100%,69,15,22%,155,155,100%,2,2,100%,172,2025
1121,1-1X,1st,300,212,212,100%,222,26,12%,210,210,100%,2,2,100%,238,2025
1122,1-1X,1st,400,362,362,100%,273,38,14%,355,355,100%,7,7,100%,400,2025
1123,1-2X,1st,50,122,50,41%,61,0,0%,122,50,41%,0,0,0%,50,2025
1124,2-1X,1st,150,435,150,34%,95,0,0%,434,149,34%,1,1,100%,150,2025
1125,3-1X,1st,75,287,75,26%,99,0,0%,286,75,26%,1,0,0%,75,2025
1126,5-1X,1st,50,342,50,15%,56,0,0%,336,49,15%,6,1,17%,50,2025
1127,11-1X,1st,50,204,50,25%,22,0,0%,204,50,25%,0,0,0%,50,2025
1128,14X,1st,180,181,180,99%,60,0,0%,179,178,99%,2,2,100%,180,2025
1129,14X,1st,250,222,222,100%,180,28,16%,218,218,100%,4,4,100%,250,2025
1130,15-1X,1st,100,185,100,54%,64,0,0%,185,100,54%,0,0,0%,100,2025
1131,16-1X,1st,150,182,150,82%,46,0,0%,181,149,82%,1,1,100%,150,2025
1132,18X,1st,100,100,100,100%,81,0,0%,100,100,100%,0,0,0%,100,2025
1133,18X,1st,50,65,50,77%,44,0,0%,63,50,79%,2,0,0%,50,2025
1134,21-1X,1st,200,177,177,100%,141,23,16%,171,171,100%,6,6,100%,200,2025
1135,21-1X,1st,200,394,200,51%,85,0,0%,389,196,50%,5,4,80%,200,2025
1136,36A-1X,1st,200,141,141,100%,67,27,40%,133,133,100%,8,8,100%,168,2025
1137,36A-1X,1st,200,326,200,61%,75,0,0%,318,197,62%,8,3,38%,200,2025
1138,38-1X,1st,10,42,10,24%,3,0,0%,42,10,24%,0,0,0%,10,2025
1139,38-1X,1st,10,25,10,40%,25,0,0%,25,10,40%,0,0,0%,10,2025
1140,38-1X,1st,10,68,10,15%,38,0,0%,67,10,15%,1,0,0%,10,2025
1141,38-1X,1st,10,87,10,11%,30,0,0%,86,10,12%,1,0,0%,10,2025
1142,50-1X,1st,40,97,40,41%,8,0,0%,95,40,42%,2,0,0%,40,2025
1143,60-1X,1st,300,367,300,82%,110,0,0%,367,300,82%,0,0,0%,300,2025
1144,60A-1X,1st,300,607,300,49%,147,0,0%,605,300,50%,2,0,0%,300,2025
1145,63AX,1st,200,585,200,34%,81,0,0%,585,200,34%,0,0,0%,200,2025
1146,66A-1X,1st,100,94,94,100%,11,4,36%,92,92,100%,2,2,100%,98,2025
1147,68AX,1st,50,166,50,30%,4,0,0%,165,49,30%,1,1,100%,50,2025
