License Year,Hunting,Deer Species,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns,Bow,Rifle,Less than 4 Points,4 or More Points
2024,100,all_deer,N,0,0,0,160,121,37,3,0,160,32,88
2024,100,all_deer,R,0,0,0,987,770,215,3,22,951,283,487
2024,100,all_deer,SUM,0,0,0,1147,890,251,6,22,1111,315,575
2024,100,md,N,0,0,0,13,13,0,0,0,13,8,5
2024,100,md,R,0,0,0,100,100,0,0,6,94,51,50
2024,100,md,SUM,0,0,0,113,113,0,0,6,107,58,55
2024,100,wt,N,0,0,0,147,107,37,3,0,147,25,83
2024,100,wt,R,0,0,0,887,670,215,3,16,857,232,437
2024,100,wt,SUM,0,0,0,1034,777,251,6,16,1004,257,520
2024,101,all_deer,N,0,0,0,71,42,29,0,0,68,8,34
2024,101,all_deer,R,0,0,0,1495,1060,432,3,15,1456,318,742
2024,101,all_deer,SUM,0,0,0,1566,1102,460,3,15,1525,326,776
2024,101,md,N,0,0,0,16,16,0,0,0,16,3,13
2024,101,md,R,0,0,0,109,102,7,0,0,109,56,46
2024,101,md,SUM,0,0,0,125,118,7,0,0,125,58,59
2024,101,wt,N,0,0,0,55,26,29,0,0,53,5,21
2024,101,wt,R,0,0,0,1386,958,425,3,15,1347,262,696
2024,101,wt,SUM,0,0,0,1441,984,454,3,15,1400,268,717
2024,103,all_deer,N,0,0,0,111,94,17,0,3,108,43,51
2024,103,all_deer,R,0,0,0,1882,1525,356,0,41,1818,566,959
2024,103,all_deer,SUM,0,0,0,1992,1619,373,0,44,1926,609,1010
2024,103,md,N,0,0,0,13,13,0,0,0,13,11,3
2024,103,md,R,0,0,0,219,219,0,0,3,213,119,101
2024,103,md,SUM,0,0,0,233,233,0,0,3,226,129,103
2024,103,wt,N,0,0,0,98,81,17,0,3,95,32,48
2024,103,wt,R,0,0,0,1662,1306,356,0,38,1605,447,858
2024,103,wt,SUM,0,0,0,1760,1387,373,0,41,1699,480,907
2024,104,all_deer,N,0,0,0,65,42,23,0,0,65,16,26
2024,104,all_deer,R,0,0,0,552,412,139,0,24,521,114,298
2024,104,all_deer,SUM,0,0,0,617,455,162,0,24,586,131,324
2024,104,md,N,0,0,0,0,0,0,0,0,0,0,0
2024,104,md,R,0,0,0,66,59,7,0,0,66,19,40
2024,104,md,SUM,0,0,0,66,59,7,0,0,66,19,40
2024,104,wt,N,0,0,0,65,42,23,0,0,65,16,26
2024,104,wt,R,0,0,0,486,354,132,0,24,455,96,258
2024,104,wt,SUM,0,0,0,551,396,155,0,24,520,112,284
2024,110,all_deer,N,0,0,0,16,11,5,0,0,16,0,11
2024,110,all_deer,R,0,0,0,488,433,56,0,16,467,124,309
2024,110,all_deer,SUM,0,0,0,504,443,61,0,16,483,124,320
2024,110,md,N,0,0,0,0,0,0,0,0,0,0,0
2024,110,md,R,0,0,0,25,22,3,0,0,25,9,12
2024,110,md,SUM,0,0,0,25,22,3,0,0,25,9,12
2024,110,wt,N,0,0,0,16,11,5,0,0,16,0,11
2024,110,wt,R,0,0,0,464,411,53,0,16,442,114,297
2024,110,wt,SUM,0,0,0,479,422,58,0,16,458,114,307
2024,120,all_deer,N,0,0,0,18,16,3,0,3,16,5,11
2024,120,all_deer,R,0,0,0,706,597,106,3,20,683,207,387
2024,120,all_deer,SUM,0,0,0,724,612,109,3,22,699,212,397
2024,120,md,N,0,0,0,3,3,0,0,0,3,0,3
2024,120,md,R,0,0,0,31,28,3,0,0,31,19,9
2024,120,md,SUM,0,0,0,34,30,3,0,0,34,19,12
2024,120,wt,N,0,0,0,16,13,3,0,3,13,5,8
2024,120,wt,R,0,0,0,675,569,103,3,20,652,189,377
2024,120,wt,SUM,0,0,0,691,582,106,3,22,665,194,385
2024,121,all_deer,N,0,0,0,156,149,7,0,3,151,45,105
2024,121,all_deer,R,0,0,0,949,855,94,0,8,921,284,571
2024,121,all_deer,SUM,0,0,0,1106,1004,101,0,11,1072,329,676
2024,121,md,N,0,0,0,42,42,0,0,0,42,16,26
2024,121,md,R,0,0,0,127,124,3,0,0,124,37,87
2024,121,md,SUM,0,0,0,169,166,3,0,0,166,53,113
2024,121,wt,N,0,0,0,114,107,7,0,3,109,29,79
2024,121,wt,R,0,0,0,823,731,91,0,8,797,247,484
2024,121,wt,SUM,0,0,0,937,839,98,0,11,906,276,563
2024,122,all_deer,N,0,0,0,60,58,3,0,0,60,13,45
2024,122,all_deer,R,0,0,0,736,637,97,2,15,715,241,396
2024,122,all_deer,SUM,0,0,0,796,695,99,2,15,775,254,440
2024,122,md,N,0,0,0,34,34,0,0,0,34,8,26
2024,122,md,R,0,0,0,167,167,0,0,3,164,80,87
2024,122,md,SUM,0,0,0,201,201,0,0,3,198,88,113
2024,122,wt,N,0,0,0,26,24,3,0,0,26,5,18
2024,122,wt,R,0,0,0,569,470,97,2,11,551,161,309
2024,122,wt,SUM,0,0,0,595,494,99,2,11,577,166,328
2024,123,all_deer,N,0,0,0,31,29,3,0,3,26,8,21
2024,123,all_deer,R,0,0,0,204,189,15,0,6,189,96,93
2024,123,all_deer,SUM,0,0,0,235,217,18,0,9,216,104,114
2024,123,md,N,0,0,0,11,11,0,0,3,8,5,5
2024,123,md,R,0,0,0,62,62,0,0,3,59,40,22
2024,123,md,SUM,0,0,0,72,72,0,0,6,67,45,27
2024,123,wt,N,0,0,0,21,18,3,0,0,18,3,16
2024,123,wt,R,0,0,0,142,127,15,0,3,131,56,71
2024,123,wt,SUM,0,0,0,163,145,18,0,3,149,58,87
2024,124,all_deer,N,0,0,0,13,13,0,0,0,13,3,11
2024,124,all_deer,R,0,0,0,163,138,24,0,3,157,59,80
2024,124,all_deer,SUM,0,0,0,176,151,24,0,3,170,61,90
2024,124,md,N,0,0,0,11,11,0,0,0,11,3,8
2024,124,md,R,0,0,0,43,43,0,0,3,39,19,24
2024,124,md,SUM,0,0,0,53,53,0,0,3,50,21,32
2024,124,wt,N,0,0,0,3,3,0,0,0,3,0,3
2024,124,wt,R,0,0,0,120,96,24,0,0,117,40,56
2024,124,wt,SUM,0,0,0,123,99,24,0,0,120,40,58
2024,130,all_deer,N,0,0,0,26,26,0,0,0,24,11,16
2024,130,all_deer,R,0,0,0,574,557,17,0,6,559,142,415
2024,130,all_deer,SUM,0,0,0,600,583,17,0,6,582,153,431
2024,130,md,N,0,0,0,3,3,0,0,0,3,0,3
2024,130,md,R,0,0,0,30,30,0,0,0,30,0,30
2024,130,md,SUM,0,0,0,32,32,0,0,0,32,0,32
2024,130,wt,N,0,0,0,24,24,0,0,0,21,11,13
2024,130,wt,R,0,0,0,545,528,17,0,6,529,142,385
