License Year,Hunting,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bulls,Cows,Calves
2024,100,N,1,20,20,1,1,0,0
2024,100,R,11,194,18,8,8,0,0
2024,100,SUM,12,214,18,9,9,0,0
2024,101,R,5,55,11,3,3,0,0
2024,101,SUM,5,55,11,3,3,0,0
2024,102,R,5,116,23,3,3,0,0
2024,102,SUM,5,116,23,3,3,0,0
2024,103,R,3,37,12,3,3,0,0
2024,103,SUM,3,37,12,3,3,0,0
2024,104,R,5,60,12,5,5,0,0
2024,104,SUM,5,60,12,5,5,0,0
2024,105,N,1,8,8,0,0,0,0
2024,105,R,11,158,14,6,6,0,0
2024,105,SUM,12,166,14,6,6,0,0
2024,106,N,1,4,4,1,1,0,0
2024,106,R,11,260,24,8,8,0,0
2024,106,SUM,12,264,22,9,9,0,0
2024,110,N,1,5,5,1,1,0,0
2024,110,R,8,143,19,4,4,0,0
2024,110,SUM,9,148,17,5,5,0,0
2024,111,N,0,0,0,0,0,0,0
2024,111,R,9,174,19,5,5,0,0
2024,111,SUM,9,174,19,5,5,0,0
2024,112,R,3,17,6,3,3,0,0
2024,112,SUM,3,17,6,3,3,0,0
2024,121,R,2,40,20,2,2,0,0
2024,121,SUM,2,40,20,2,2,0,0
2024,122,R,4,40,10,4,4,0,0
2024,122,SUM,4,40,10,4,4,0,0
2024,125,R,3,57,19,1,1,0,0
2024,125,SUM,3,57,19,1,1,0,0
2024,126,R,1,25,25,1,1,0,0
2024,126,SUM,1,25,25,1,1,0,0
2024,140,R,1,20,20,1,1,0,0
2024,140,SUM,1,20,20,1,1,0,0
2024,141,N,1,27,27,1,1,0,0
2024,141,R,0,0,0,0,0,0,0
2024,141,SUM,1,27,27,1,1,0,0
2024,150,R,1,29,29,0,0,0,0
2024,150,SUM,1,29,29,0,0,0,0
2024,210,R,4,43,11,4,4,0,0
2024,210,SUM,4,43,11,4,4,0,0
2024,211,R,2,35,18,2,2,0,0
2024,211,SUM,2,35,18,2,2,0,0
2024,213,R,4,32,8,4,4,0,0
2024,213,SUM,4,32,8,4,4,0,0
2024,214,R,1,35,35,0,0,0,0
2024,214,SUM,1,35,35,0,0,0,0
2024,215,R,1,2,2,1,1,0,0
2024,215,SUM,1,2,2,1,1,0,0
2024,220,R,3,35,12,2,2,0,0
2024,220,SUM,3,35,12,2,2,0,0
2024,230,R,4,132,33,1,1,0,0
2024,230,SUM,4,132,33,1,1,0,0
2024,240,R,3,53,18,3,3,0,0
2024,240,SUM,3,53,18,3,3,0,0
2024,261,R,2,114,57,0,0,0,0
2024,261,SUM,2,114,57,0,0,0,0
2024,270,R,2,10,5,2,2,0,0
2024,270,SUM,2,10,5,2,2,0,0
2024,280,R,1,25,25,0,0,0,0
2024,280,SUM,1,25,25,0,0,0,0
2024,285,R,1,7,7,1,1,0,0
2024,285,SUM,1,7,7,1,1,0,0
2024,292,R,1,15,15,1,1,0,0
2024,292,SUM,1,15,15,1,1,0,0
2024,293,R,2,44,22,1,1,0,0
2024,293,SUM,2,44,22,1,1,0,0
2024,300,N,1,5,5,1,1,0,0
2024,300,R,7,54,8,7,5,1,1
2024,300,SUM,8,59,7,8,6,1,1
2024,301,N,1,9,9,0,0,0,0
2024,301,R,5,18,4,5,3,2,0
2024,301,SUM,6,27,5,5,3,2,0
2024,302,N,1,7,7,1,1,0,0
2024,302,R,2,10,5,2,1,1,0
2024,302,SUM,3,17,6,3,2,1,0
2024,303,R,4,23,6,4,3,1,0
2024,303,SUM,4,23,6,4,3,1,0
2024,310,R,1,6,6,1,1,0,0
2024,310,SUM,1,6,6,1,1,0,0
2024,311,R,2,14,7,1,1,0,0
2024,311,SUM,2,14,7,1,1,0,0
2024,312,N,1,9,9,1,1,0,0
2024,312,R,3,47,16,3,3,0,0
2024,312,SUM,4,56,14,4,4,0,0
2024,313,N,1,24,24,1,1,0,0
2024,313,R,5,40,8,5,5,0,0
2024,313,SUM,6,64,11,6,6,0,0
2024,314,R,3,41,14,3,3,0,0
2024,314,SUM,3,41,14,3,3,0,0
2024,319,R,0,0,0,0,0,0,0
2024,319,SUM,0,0,0,0,0,0,0
2024,320,R,7,104,15,7,4,2,2
2024,320,SUM,7,104,15,7,4,2,2
2024,322,R,2,8,4,2,2,0,0
2024,322,SUM,2,8,4,2,2,0,0
2024,323,R,11,113,10,11,6,5,0
2024,323,SUM,11,113,10,11,6,5,0
2024,324,R,6,64,11,6,4,2,0
2024,324,SUM,6,64,11,6,4,2,0
2024,325,R,5,107,22,4,4,0,0
2024,325,SUM,5,107,22,4,4,0,0
2024,326,R,4,39,10,4,3,1,0
2024,326,SUM,4,39,10,4,3,1,0
2024,327,R,5,54,11,4,3,1,0
2024,327,SUM,5,54,11,4,3,1,0
2024,329,R,2,8,4,2,2,0,0
2024,329,SUM,2,8,4,2,2,0,0
2024,330,R,15,215,15,7,6,1,0
2024,330,SUM,15,215,15,7,6,1,0
2024,332,R,15,182,13,12,5,6,1
2024,332,SUM,15,182,13,12,5,6,1
2024,334,N,1,7,7,0,0,0,0
2024,334,R,15,82,6,13,6,6,1
2024,334,SUM,16,89,6,13,6,6,1
2024,335,R,2,50,25,2,2,0,0
2024,335,SUM,2,50,25,2,2,0,0
2024,340,N,1,4,4,1,1,0,0
2024,340,R,5,42,8,5,3,2,0
2024,340,SUM,6,46,8,6,4,2,0
2024,341,R,2,20,10,2,2,0,0
2024,341,SUM,2,20,10,2,2,0,0
2024,343,R,1,16,16,1,1,0,0
2024,343,SUM,1,16,16,1,1,0,0
2024,350,R,2,42,21,2,2,0,0
2024,350,SUM,2,42,21,2,2,0,0
2024,360,R,2,14,7,1,1,0,0
2024,360,SUM,2,14,7,1,1,0,0
2024,361,R,4,8,2,4,4,0,0
2024,361,SUM,4,8,2,4,4,0,0
2024,380,R,7,123,18,7,5,2,0
2024,380,SUM,7,123,18,7,5,2,0
2024,382,R,2,24,12,2,2,0,0
2024,382,SUM,2,24,12,2,2,0,0
2024,390,R,2,14,7,2,2,0,0
2024,390,SUM,2,14,7,2,2,0,0
2024,401,R,2,37,19,2,2,0,0
2024,401,SUM,2,37,19,2,2,0,0
2024,415,R,1,1,1,1,1,0,0
2024,415,SUM,1,1,1,1,1,0,0
2024,422,R,1,1,1,1,1,0,0
2024,422,SUM,1,1,1,1,1,0,0
2024,441,R,1,22,22,0,0,0,0
2024,441,SUM,1,22,22,0,0,0,0
2024,447,R,1,4,4,1,1,0,0
2024,447,SUM,1,4,4,1,1,0,0
2024,494,R,4,43,11,4,4,0,0
2024,494,SUM,4,43,11,4,4,0,0
2024,496,R,4,80,20,1,1,0,0
2024,496,SUM,4,80,20,1,1,0,0
2024,513,R,1,12,12,1,1,0,0
2024,513,SUM,1,12,12,1,1,0,0
2024,514,R,4,9,2,4,4,0,0
2024,514,SUM,4,9,2,4,4,0,0
2024,516,R,2,28,14,2,2,0,0
2024,516,SUM,2,28,14,2,2,0,0
2024,600,R,9,50,6,9,9,0,0
2024,600,SUM,9,50,6,9,9,0,0
2024,700,R,1,4,4,1,1,0,0
2024,700,SUM,1,4,4,1,1,0,0
2024,Reg_1,N,5,64,13,4,4,0,0
2024,Reg_1,R,83,1424,17,57,57,0,0
2024,Reg_1,SUM,88,1488,17,61,61,0,0
2024,Reg_2,R,31,582,19,22,22,0,0
2024,Reg_2,SUM,31,582,19,22,22,0,0
2024,Reg_3,N,7,65,9,5,5,0,0
2024,Reg_3,R,147,1582,11,131,94,32,5
2024,Reg_3,SUM,154,1647,11,136,99,32,5
2024,Reg_4,R,14,188,13,10,10,0,0
2024,Reg_4,SUM,14,188,13,10,10,0,0
2024,Reg_5,R,7,49,7,7,7,0,0
2024,Reg_5,SUM,7,49,7,7,7,0,0
2024,Reg_6,R,9,50,6,9,9,0,0
2024,Reg_6,SUM,9,50,6,9,9,0,0
2024,Reg_7,R,1,4,4,1,1,0,0
2024,Reg_7,SUM,1,4,4,1,1,0,0
2024,State,N,12,129,11,9,9,0,0
2024,State,R,292,3878,13,237,200,32,5
2024,State,SUM,304,4007,13,246,209,32,5
