"Hunt Information",,,,"1st Choice",,,"2nd Choice",,,Residents,,,NonResidents,,,,
Hunt,Area,Drawing,Permits,"1st Choice Applied",Drew,%,"2nd Choice Applied",Drew,%,"Residents Applied",Drew,%,"NonResidents Applied",Drew,%,"Total Drew",Year
1106,54,2nd,6,243,6,2%,23,0,0%,212,4,2%,31,2,6%,6,2025
1107,55-1,2nd,3,103,3,3%,44,0,0%,87,3,3%,16,0,0%,3,2025
1108,55-1,2nd,7,25,7,28%,17,0,0%,25,7,28%,0,0,0%,7,2025
1109,60-1,2nd,25,44,25,57%,8,0,0%,44,25,57%,0,0,0%,25,2025
1110,62,2nd,31,2,2,100%,1,1,100%,2,2,100%,0,0,0%,3,2025
1111,21-1X,2nd,2,3,2,67%,0,0,0%,3,2,67%,0,0,0%,2,2025
1112,36A-1X,2nd,26,13,13,100%,3,3,100%,13,13,100%,0,0,0%,16,2025
1113,39-1X,2nd,4,123,4,3%,6,0,0%,122,4,3%,1,0,0%,4,2025
1114,40-1X,2nd,6,57,6,11%,7,0,0%,57,6,11%,0,0,0%,6,2025
1115,1-1X,2nd,3,9,3,33%,15,0,0%,9,3,33%,0,0,0%,3,2025
1116,1-1X,2nd,4,54,4,7%,7,0,0%,53,4,8%,1,0,0%,4,2025
1117,14X,2nd,11,35,11,31%,39,0,0%,34,10,29%,1,1,100%,11,2025
1118,14X,2nd,7,171,7,4%,35,0,0%,169,7,4%,2,0,0%,7,2025
1119,18X,2nd,3,82,3,4%,16,0,0%,80,3,4%,2,0,0%,3,2025
1120,1-1X,2nd,148,36,36,100%,23,6,26%,36,36,100%,0,0,0%,42,2025
1121,1-1X,2nd,82,29,29,100%,34,7,21%,28,28,100%,1,1,100%,36,2025
1122,1-1X,2nd,56,40,40,100%,26,14,54%,38,38,100%,2,2,100%,54,2025
1123,1-2X,2nd,5,20,5,25%,14,0,0%,20,5,25%,0,0,0%,5,2025
1124,2-1X,2nd,11,125,11,9%,19,0,0%,124,11,9%,1,0,0%,11,2025
1125,3-1X,2nd,3,50,3,6%,35,0,0%,48,3,6%,2,0,0%,3,2025
1126,5-1X,2nd,3,87,3,3%,15,0,0%,86,3,3%,1,0,0%,3,2025
1128,14X,2nd,9,29,9,31%,17,0,0%,29,9,31%,0,0,0%,9,2025
1129,14X,2nd,28,84,28,33%,39,0,0%,83,28,34%,1,0,0%,28,2025
1130,15-1X,2nd,7,54,7,13%,14,0,0%,53,7,13%,1,0,0%,7,2025
1131,16-1X,2nd,10,32,10,31%,10,0,0%,32,10,31%,0,0,0%,10,2025
1132,18X,2nd,10,34,10,29%,11,0,0%,34,10,29%,0,0,0%,10,2025
1133,18X,2nd,6,17,6,35%,16,0,0%,16,6,38%,1,0,0%,6,2025
1134,21-1X,2nd,11,34,11,32%,13,0,0%,30,11,37%,4,0,0%,11,2025
1135,21-1X,2nd,16,90,16,18%,25,0,0%,90,16,18%,0,0,0%,16,2025
1136,36A-1X,2nd,51,33,33,100%,11,10,91%,33,33,100%,0,0,0%,43,2025
1137,36A-1X,2nd,24,85,24,28%,13,0,0%,82,24,29%,3,0,0%,24,2025
1138,38-1X,2nd,2,16,2,13%,6,0,0%,15,2,13%,1,0,0%,2,2025
1140,38-1X,2nd,2,14,2,14%,25,0,0%,14,2,14%,0,0,0%,2,2025
1141,38-1X,2nd,4,51,4,8%,12,0,0%,51,4,8%,0,0,0%,4,2025
1142,50-1X,2nd,7,39,7,18%,3,0,0%,37,6,16%,2,1,50%,7,2025
1143,60-1X,2nd,30,66,30,45%,24,0,0%,66,30,45%,0,0,0%,30,2025
1144,60A-1X,2nd,20,137,20,15%,40,0,0%,137,20,15%,0,0,0%,20,2025
1145,63AX,2nd,14,203,14,7%,18,0,0%,200,13,7%,3,1,33%,14,2025
1146,66A-1X,2nd,22,27,22,81%,12,0,0%,27,22,81%,0,0,0%,22,2025
1147,68AX,2nd,3,40,3,8%,1,0,0%,40,3,8%,0,0,0%,3,2025
