License Year,Hunting,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bulls,Cows,Calves,Bow,Rifle,Spike Bull Elk,Less than 6 Points,6 or More Points
2023,100,N,0,0,0,8,8,0,0,0,8,0,8,0
2023,100,R,0,0,0,98,75,23,0,24,72,0,53,21
2023,100,SUM,0,0,0,106,83,23,0,24,80,0,62,21
2023,101,N,0,0,0,11,11,0,0,3,8,0,11,0
2023,101,R,0,0,0,63,48,15,0,9,54,0,48,0
2023,101,SUM,0,0,0,74,59,15,0,12,62,0,59,0
2023,103,N,0,0,0,0,0,0,0,0,0,0,0,0
2023,103,R,0,0,0,92,57,32,3,12,80,0,42,15
2023,103,SUM,0,0,0,92,57,32,3,12,80,0,42,15
2023,104,N,0,0,0,3,3,0,0,3,0,0,0,3
2023,104,R,0,0,0,29,21,8,0,12,17,0,12,9
2023,104,SUM,0,0,0,31,24,8,0,15,17,0,12,12
2023,110,N,0,0,0,0,0,0,0,0,0,0,0,0
2023,110,R,0,0,0,24,18,6,0,0,24,0,15,3
2023,110,SUM,0,0,0,24,18,6,0,0,24,0,15,3
2023,120,N,0,0,0,0,0,0,0,0,0,0,0,0
2023,120,R,0,0,0,75,66,6,3,21,54,3,45,18
2023,120,SUM,0,0,0,75,66,6,3,21,54,3,45,18
2023,121,N,0,0,0,60,46,14,0,35,25,0,33,11
2023,121,R,0,0,0,166,99,61,5,20,146,0,75,24
2023,121,SUM,0,0,0,226,145,76,5,55,171,0,108,35
2023,122,N,0,0,0,14,14,0,0,3,11,0,5,8
2023,122,R,0,0,0,80,65,14,0,15,62,0,54,11
2023,122,SUM,0,0,0,93,79,14,0,18,72,0,59,19
2023,123,N,0,0,0,5,3,3,0,0,5,0,3,0
2023,123,R,0,0,0,33,21,12,0,6,24,0,15,6
2023,123,SUM,0,0,0,38,24,15,0,6,29,0,18,6
2023,124,N,0,0,0,4,3,1,0,0,4,0,3,0
2023,124,R,0,0,0,31,20,11,0,0,31,0,17,3
2023,124,SUM,0,0,0,35,23,12,0,0,35,0,20,3
