License Year,Hunting,Residency,Hunters,Days,Days per Hunter,Total Harvest,Bucks,Does,Fawns
2024,5XX,SUM,12,36,3,0,0,0,0
2024,600,N,39,213,5,27,24,3,0
2024,600,R,282,1211,4,173,142,31,0
2024,600,SUM,321,1424,4,200,166,34,0
2024,620,N,48,185,4,45,42,3,0
2024,620,R,385,1374,4,265,223,42,0
2024,620,SUM,434,1559,4,310,264,46,0
2024,630,N,33,150,5,29,27,3,0
2024,630,R,325,1377,4,207,172,35,0
2024,630,SUM,359,1526,4,236,198,38,0
2024,640,N,21,118,6,11,11,0,0
2024,640,R,137,811,6,83,67,16,0
2024,640,SUM,158,929,6,93,77,16,0
2024,650,N,63,279,5,52,43,9,0
2024,650,R,396,1543,4,292,221,70,2
2024,650,SUM,459,1822,4,344,264,79,2
2024,670,N,40,130,3,26,25,1,0
2024,670,R,274,1041,4,194,162,32,0
2024,670,SUM,314,1172,4,220,187,33,0
2024,690,N,23,62,3,21,16,5,0
2024,690,R,318,1068,3,218,155,60,3
2024,690,SUM,341,1129,3,239,171,65,3
2024,700,N,134,481,4,112,101,9,2
2024,700,R,1251,4250,3,845,690,152,3
2024,700,SUM,1385,4731,3,956,791,161,4
2024,701,N,157,588,4,116,109,7,0
2024,701,R,937,2754,3,612,518,89,6
2024,701,SUM,1093,3342,3,728,627,96,6
2024,702,N,56,161,3,33,31,2,0
2024,702,R,493,1708,4,299,239,60,0
2024,702,SUM,549,1869,3,331,270,61,0
2024,703,N,102,382,4,69,54,15,0
2024,703,R,517,1831,4,270,221,46,3
2024,703,SUM,619,2213,4,338,274,61,3
2024,704,N,134,539,4,107,93,13,0
2024,704,R,881,3241,4,562,413,146,3
2024,704,SUM,1015,3779,4,668,507,159,3
2024,705,N,396,1482,4,362,276,81,5
2024,705,R,1319,4863,4,1231,768,455,9
2024,705,SUM,1714,6345,4,1594,1044,536,14
2024,7XX,N,13,47,4,0,0,0,0
2024,7XX,R,53,149,3,0,0,0,0
2024,7XX,SUM,66,196,3,0,0,0,0
2024,Reg_2,R,9,24,3,6,6,0,0
2024,Reg_2,SUM,12,35,3,6,6,0,0
2024,Reg_3,N,213,804,4,146,108,37,0
2024,Reg_3,R,3070,15048,5,1629,981,614,34
2024,Reg_3,SUM,3283,15852,5,1775,1089,652,34
2024,Reg_4,N,171,684,4,119,102,17,0
2024,Reg_4,R,2523,10949,4,1556,1066,480,9
2024,Reg_4,SUM,2694,11633,4,1675,1168,497,9
2024,Reg_5,N,385,1298,3,291,254,37,0
2024,Reg_5,R,3138,12419,4,1777,1339,413,24
2024,Reg_5,SUM,3523,13717,4,2068,1593,451,24
2024,Reg_6,N,268,1137,4,211,187,24,0
2024,Reg_6,R,2076,8424,4,1431,1141,286,4
2024,Reg_6,SUM,2344,9562,4,1642,1328,309,4
