License Year,Hunting,Residency,Hunters,Days,Days per Hunter,Total Harvest,Billies,Nannies,Kids
2023,100,R,2,5,3,1,1,0,0
2023,100,SUM,2,5,3,1,1,0,0
2023,101,R,1,18,18,0,0,0,0
2023,101,SUM,1,18,18,0,0,0,0
2023,133,R,1,7,7,0,0,0,0
2023,133,SUM,1,7,7,0,0,0,0
2023,140,R,1,2,2,1,1,0,0
2023,140,SUM,1,2,2,1,1,0,0
2023,142,R,0,0,0,0,0,0,0
2023,142,SUM,0,0,0,0,0,0,0
2023,150,R,1,7,7,1,1,0,0
2023,150,SUM,1,7,7,1,1,0,0
2023,240,R,1,20,20,1,1,0,0
2023,240,SUM,1,20,20,1,1,0,0
2023,312,R,1,7,7,0,0,0,0
2023,312,SUM,1,7,7,0,0,0,0
2023,313,N,1,4,4,1,1,0,0
2023,313,R,18,81,5,12,5,7,0
2023,313,SUM,19,85,5,13,6,7,0
2023,314,N,3,21,7,0,0,0,0
2023,314,R,27,149,6,22,15,7,0
2023,314,SUM,30,170,6,22,15,7,0
2023,316,N,1,10,10,1,0,1,0
2023,316,R,11,96,9,5,4,1,0
2023,316,SUM,12,106,9,6,4,2,0
2023,320,R,5,39,8,4,2,2,0
2023,320,SUM,5,39,8,4,2,2,0
2023,323,N,3,11,4,3,2,1,0
2023,323,R,35,200,6,32,19,13,0
2023,323,SUM,38,211,6,35,21,14,0
2023,324,N,1,2,2,1,0,1,0
2023,324,R,3,6,2,3,3,0,0
2023,324,SUM,4,8,2,4,3,1,0
2023,325,N,1,4,4,1,1,0,0
2023,325,R,5,24,5,5,3,2,0
2023,325,SUM,6,28,5,6,4,2,0
2023,326,N,1,1,1,1,0,1,0
2023,326,R,3,27,9,1,0,1,0
2023,326,SUM,4,28,7,2,0,2,0
2023,329,N,1,2,2,1,1,0,0
2023,329,R,13,72,6,10,7,3,0
2023,329,SUM,14,74,5,11,8,3,0
2023,330,R,1,3,3,1,0,1,0
2023,330,SUM,1,3,3,1,0,1,0
2023,331,N,1,1,1,1,1,0,0
2023,331,R,1,4,4,1,1,0,0
2023,331,SUM,2,5,3,2,2,0,0
2023,350,R,1,3,3,1,1,0,0
2023,350,SUM,1,3,3,1,1,0,0
2023,361,R,2,4,2,2,2,0,0
2023,361,SUM,2,4,2,2,2,0,0
2023,362,R,6,17,3,3,3,0,0
2023,362,SUM,6,17,3,3,3,0,0
2023,393,R,5,24,5,5,4,1,0
2023,393,SUM,5,24,5,5,4,1,0
2023,415,R,1,2,2,1,1,0,0
2023,415,SUM,1,2,2,1,1,0,0
2023,442,R,1,2,2,1,1,0,0
2023,442,SUM,1,2,2,1,1,0,0
2023,447,R,1,1,1,1,0,1,0
2023,447,SUM,1,1,1,1,0,1,0
2023,453,R,1,1,1,1,1,0,0
2023,453,SUM,1,1,1,1,1,0,0
2023,514,R,2,20,10,1,0,1,0
2023,514,SUM,2,20,10,1,0,1,0
2023,517,R,4,18,5,4,2,2,0
2023,517,SUM,4,18,5,4,2,2,0
2023,518,R,3,13,4,3,2,1,0
2023,518,SUM,3,13,4,3,2,1,0
2023,519,R,0,0,0,0,0,0,0
2023,519,SUM,0,0,0,0,0,0,0
2023,521,N,1,8,8,1,1,0,0
2023,521,R,3,24,8,3,2,1,0
2023,521,SUM,4,32,8,4,3,1,0
2023,Reg_1,R,6,39,7,3,3,0,0
2023,Reg_1,SUM,6,39,7,3,3,0,0
2023,Reg_2,R,1,20,20,1,1,0,0
2023,Reg_2,SUM,1,20,20,1,1,0,0
2023,Reg_3,N,13,56,4,10,6,4,0
2023,Reg_3,R,137,757,6,108,70,38,0
2023,Reg_3,SUM,150,813,6,118,76,42,0
2023,Reg_4,R,4,6,2,4,3,1,0
2023,Reg_4,SUM,4,6,2,4,3,1,0
2023,Reg_5,N,1,8,8,1,1,0,0
2023,Reg_5,R,12,75,6,11,6,5,0
2023,Reg_5,SUM,13,83,6,12,7,5,0
2023,State,N,14,64,5,11,7,4,0
2023,State,R,160,897,6,127,83,44,0
2023,State,SUM,174,961,6,138,90,48,0
