"Hunt Information",,,,"1st Choice",,,"2nd Choice",,,Residents,,,NonResidents,,,,
Hunt,Area,Drawing,Permits,"1st Choice Applied",Drew,%,"2nd Choice Applied",Drew,%,"Residents Applied",Drew,%,"NonResidents Applied",Drew,%,"Total Drew",Year
2079,37,2nd,13,92,13,14%,43,0,0%,78,11,14%,14,2,14%,13,2025
2080,37A,2nd,3,15,3,20%,13,0,0%,13,2,15%,2,1,50%,3,2025
2081,39-1,2nd,39,525,39,7%,172,0,0%,491,36,7%,34,3,9%,39,2025
2082,39-2,2nd,24,230,24,10%,159,0,0%,229,24,10%,1,0,0%,24,2025
2083,40-1,2nd,11,515,11,2%,118,0,0%,496,11,2%,19,0,0%,11,2025
2084,41,2nd,4,142,4,3%,98,0,0%,138,4,3%,4,0,0%,4,2025
2085,43-1,2nd,4,51,4,8%,59,0,0%,43,4,9%,8,0,0%,4,2025
2086,46,2nd,5,70,5,7%,61,0,0%,63,5,8%,7,0,0%,5,2025
2087,48-1,2nd,8,89,8,9%,51,0,0%,81,7,9%,8,1,13%,8,2025
2088,48-2,2nd,8,51,8,16%,38,0,0%,50,8,16%,1,0,0%,8,2025
2090,51,2nd,1,25,1,4%,25,0,0%,23,1,4%,2,0,0%,1,2025
2091,51,2nd,7,109,7,6%,31,0,0%,103,7,7%,6,0,0%,7,2025
2092,54,2nd,9,436,9,2%,120,0,0%,421,8,2%,15,1,7%,9,2025
2094,58,2nd,12,129,12,9%,38,0,0%,126,12,10%,3,0,0%,12,2025
2095,59-1,2nd,2,81,2,2%,26,0,0%,79,2,3%,2,0,0%,2,2025
2096,60-1,2nd,77,145,77,53%,113,0,0%,142,74,52%,3,3,100%,77,2025
2097,60-1,2nd,47,161,47,29%,178,0,0%,156,45,29%,5,2,40%,47,2025
2098,60-2,2nd,9,112,9,8%,68,0,0%,109,8,7%,3,1,33%,9,2025
2099,62-1,2nd,3,11,3,27%,15,0,0%,10,3,30%,1,0,0%,3,2025
2101,64-1,2nd,7,16,7,44%,9,0,0%,15,7,47%,1,0,0%,7,2025
2102,66-2,2nd,25,64,25,39%,76,0,0%,64,25,39%,0,0,0%,25,2025
2103,66-2,2nd,31,118,31,26%,70,0,0%,117,31,26%,1,0,0%,31,2025
2104,66A,2nd,6,17,6,35%,15,0,0%,14,4,29%,3,2,67%,6,2025
2105,67-1,2nd,3,19,3,16%,4,0,0%,14,3,21%,5,0,0%,3,2025
2106,68,2nd,12,76,12,16%,35,0,0%,76,12,16%,0,0,0%,12,2025
2107,76,2nd,24,230,24,10%,66,0,0%,201,21,10%,29,3,10%,24,2025
2108,76-1,2nd,12,18,12,67%,24,0,0%,18,12,67%,0,0,0%,12,2025
2109,1-2,2nd,1,425,1,0%,54,0,0%,403,1,0%,22,0,0%,1,2025
2110,13,2nd,15,131,15,11%,26,0,0%,79,8,10%,52,7,13%,15,2025
2112,31,2nd,1,62,1,2%,18,0,0%,58,1,2%,4,0,0%,1,2025
2113,39-3,2nd,3,50,3,6%,23,0,0%,47,3,6%,3,0,0%,3,2025
