"Hunt Information",,,,"1st Choice",,,"2nd Choice",,,Residents,,,NonResidents,,,,
Hunt,Area,Drawing,Permits,"1st Choice Applied",Drew,%,"2nd Choice Applied",Drew,%,"Residents Applied",Drew,%,"NonResidents Applied",Drew,%,"Total Drew",Year
2163,31,1st,50,347,50,14%,48,0,0%,293,45,15%,54,5,9%,50,2025
2164,24X,1st,25,100,25,25%,31,0,0%,100,25,25%,0,0,0%,25,2025
2165,32-1X,1st,150,1103,150,14%,72,0,0%,1101,150,14%,2,0,0%,150,2025
2166,32A-2X,1st,50,173,50,29%,194,0,0%,171,49,29%,2,1,50%,50,2025
2167,36AX,1st,250,1816,250,14%,41,0,0%,1774,242,14%,42,8,19%,250,2025
2168,62-1X,1st,100,91,91,100%,19,9,47%,88,88,100%,3,3,100%,100,2025
2169,63X,1st,100,226,100,44%,101,0,0%,223,98,44%,3,2,67%,100,2025
2170,63X,1st,100,457,100,22%,116,0,0%,455,100,22%,2,0,0%,100,2025
2171,69-1X,1st,75,82,75,91%,20,0,0%,82,75,91%,0,0,0%,75,2025
2172,74X,1st,100,131,100,76%,111,0,0%,129,98,76%,2,2,100%,100,2025
2173,74X,1st,100,221,100,45%,88,0,0%,219,98,45%,2,2,100%,100,2025
2174,76-1X,1st,50,218,50,23%,16,0,0%,208,49,24%,10,1,10%,50,2025
2250,36A-1X,1st,50,485,50,10%,31,0,0%,472,48,10%,13,2,15%,50,2025
2251,41X,1st,100,1328,100,8%,284,0,0%,1307,98,7%,21,2,10%,100,2025
2252,41X,1st,100,755,100,13%,507,0,0%,735,97,13%,20,3,15%,100,2025
2253,51-1X,1st,25,200,25,12%,33,0,0%,199,25,13%,1,0,0%,25,2025
2254,63-1X,1st,50,515,50,10%,30,0,0%,514,50,10%,1,0,0%,50,2025
2255,69-1X,1st,75,89,75,84%,17,0,0%,89,75,84%,0,0,0%,75,2025
2256,76-1X,1st,50,134,50,37%,36,0,0%,134,50,37%,0,0,0%,50,2025
2257,76-1X,1st,50,83,50,60%,85,0,0%,80,50,62%,3,0,0%,50,2025
